date,sentiment,trend
2021-01-06,0.2023,1
2021-01-06,-0.4939,0
2021-01-06,0.6369,1
2021-01-06,-0.624,0
2021-01-06,0.5859,1
2021-01-06,-0.0258,0
2021-01-06,0.5994,1
2021-01-06,0.3182,1
2021-01-06,0.7845,1
2021-01-06,0.0,0
2021-01-06,0.296,1
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,0.4019,1
2021-01-06,0.1779,1
2021-01-06,0.0,0
2021-01-06,0.4404,1
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,0.7269,1
2021-01-06,0.6369,1
2021-01-06,0.5106,1
2021-01-06,0.0,0
2021-01-06,0.7717,1
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,0.4404,1
2021-01-06,-0.2732,0
2021-01-06,0.6369,1
2021-01-06,0.0,0
2021-01-06,0.34,1
2021-01-06,0.0,0
